City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
cairo montenotte,44.4031,8.2746,51.01,99,93,2.59,IT,1621056418
calamar,10.2511,-74.9146,80.6,89,40,13.8,CO,1621056367
camabatela,-8.1881,15.375,59.04,70,86,4.47,AO,1621056384
camacha,33.0833,-16.3333,64.4,77,40,13.8,PT,1621056385
camana,-16.6228,-72.7111,66.24,82,1,7.43,PE,1621056434
campina verde,-19.5356,-49.4864,69.6,60,84,4.23,BR,1621056379
cape town,-33.9258,18.4232,63.0,94,75,18.41,ZA,1621056055
carahue,-38.7,-73.1667,48.2,100,90,0.36,CL,1621056451
caravelas,-17.7125,-39.2481,72.43,71,74,8.55,BR,1621056305
carlagan,14.975,122.0456,83.41,81,30,9.73,PH,1621056458
carlsbad,33.1581,-117.3506,62.6,77,90,3.44,US,1621056144
carnarvon,-24.8667,113.6333,84.2,32,96,10.36,AU,1621056004
castro,-24.7911,-50.0119,52.7,96,100,4.54,BR,1621056262
cayenne,4.9333,-52.3333,75.99,100,75,2.3,GF,1621056327
chapais,49.7834,-74.8492,48.2,57,90,5.75,CA,1621056435
chapayevka,47.4711,36.3451,63.93,54,42,5.35,UA,1621056413
charlestown,-32.95,151.6667,64.99,48,31,5.01,AU,1621056316
cherskiy,68.75,161.3,34.77,85,100,1.52,RU,1621056265
chifeng,42.2683,118.9636,56.48,25,100,5.32,CN,1621056365
chita,52.0333,113.55,60.8,21,3,13.42,RU,1621056301
chokurdakh,70.6333,147.9167,30.06,89,83,8.72,RU,1621056263
christchurch,-43.5333,172.6333,55.99,58,50,3.44,NZ,1621056158
chunskiy,56.0815,99.6342,45.99,67,84,13.35,RU,1621056323
chuy,-33.6971,-53.4616,49.35,81,40,2.28,UY,1621056293
cidreira,-30.1811,-50.2056,58.44,79,0,5.61,BR,1621056325
clarksburg,39.2807,-80.3445,46.4,76,1,2.42,US,1621056354
clyde river,70.4692,-68.5914,24.8,100,90,3.4,CA,1621056295
coahuayana,18.7333,-103.6833,77.13,82,35,2.53,MX,1621056349
cockburn town,21.4612,-71.1419,79.0,77,5,13.22,TC,1621056356
codrington,-38.2667,141.9667,53.91,49,72,13.49,AU,1621056311
college,64.8569,-147.8028,59.0,38,75,3.44,US,1621056337
comodoro rivadavia,-45.8667,-67.5,48.2,81,0,4.18,AR,1621056289
constitucion,-35.3333,-72.4167,55.29,85,100,6.17,CL,1621056421
coos bay,43.3665,-124.2179,48.99,100,90,17.27,US,1621056359
coquimbo,-29.9533,-71.3436,53.6,94,41,2.3,CL,1621056100
coroico,-16.1889,-67.7271,57.76,97,100,0.49,BO,1621056350
